SHIP'S NAME,VESSEL TYPE,WHERE BUILT,YEAR LOST,LOCATION LOST,LATITUDE,LONGITUDE,CONSTRUCTION,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,SHIP VALUE,CARGO VALUE
Anna A Lennen,Trawler,,1944,Cape May S 5 mi,38.84305,-74.92777,,0,0,0,0,,0.00,0.00
Anna Murray,Schooner 4 masted,"Camden, NJ",1902,"Indian River Inlet, DE",38.59166,-75.05555,,0,0,0,0,,0.00,0.00
Annie E Fowler (1887),Schooner,"Noank, CT",1887,Absecon Inlet North bar,39.39330,-74.39166,,37.5,15.3,6,17.28,16.42,1500.00,0.00
Anondale,Brig,,1869,Squan Inlet S 3.5 mi,40.05165,-74.03989,,0,0,0,177,,0.00,0.00
Anson Stimson,Schooner 3 masted,"Salisbury, MA",1881,Atlantic City LSS N 1.25 mi,39.37884,-74.39656,,117.6,28,9.2,224,,17000.00,18000.00
Antilla,Bark,"Kings County, NB",1902,Long Beach LSS NE .5 mi,39.59018,-74.21561,Wood,145.8,33.3,12.7,466,442,11000.00,124495.00
Antioch,Bark,"Kennebunk, ME",1913,Squan Beach LSS SSE 500 yds,40.11185,-74.02981,,183.3,35.2,21,986,,12000.00,5500.00
Arctic,Brig,"Wilmot, ON, CA",1881,Squan Point LSS E 400 yds,40.11651,-74.02663,,112.2,28.2,12.5,274,,8000.00,40000.00
Argyle,Bark,,1851,Long Beach Island Bonds,39.53641,-74.24705,,0,0,0,0,,0.00,0.00
Aries (1871),Steamship,,1871,"Cranberry Inlet, NJ",39.93888,-74.06666,,0,0,0,0,,0.00,0.00
Arundo,Freighter,"New Castle, England",1942,Belmar E 15.5 mi,40.17361,-73.68250,Steel,412,55,26,5163,3107,0.00,0.00
Asfalto,Barge,,1932,Monmouth Beach E 10 mi,40.35000,-73.76667,Steel  ,330,40,0,0,,0.00,0.00
Atlantic (1831),Brig,,1831,"Long Branch, NJ",40.29166,-73.97500,,0,0,0,0,,0.00,0.00
Atlantus,Steamer Concrete ,"Wilmington, DE",1926,Cape May Point,38.94166,-74.97222,,0,0,0,0,,0.00,0.00
Auburn,Packet ship,"New York, NY",1847,Barnegat Light S 5 mi,39.69174,-74.13736,,117,28.7,16.9,427,,25000.00,45000.00
Augustina,Brig,,1880,"Monmouth Beach, NJ",40.35666,-73.94166,,0,0,0,168,,3000.00,5100.00
Auntie,Sloop - Yacht,,1905,Bayhead LSS E .25 mi,40.06612,-74.03836,,0,0,0,0,,250.00,0.00
Ayrshire (1850),Bark,"Quebec, Canada",1850,Squan Inlet S 8.1 mi,39.98431,-74.05908,Wood,0,0,0,625,,0.00,0.00
B B 59,Scow,,1924,Sandy Hook E 3 mi,39.36302,-74.39307,,0,0,0,0,,0.00,0.00
B F Macomber,Fishing trawler,"Noank, CT",1946,Harbor of Refuge Light E 1 mi,38.78744,-75.01232,,0,0,0,0,,0.00,0.00
B I Hazard,Schooner,"Port Jefferson, NY",1912,Brigantine LSS S 4 mi,39.36302,-74.39307,Wood,131.8,31.1,8.4,392,349,7000.00,10000.00
Balaena,Bark,"Sag Harber, NY",1922,Mud Hole,40.17305,-73.68305,Wood,0,0,0,0,,0.00,0.00
Bardness,Barge,,1910,,40.45833,-73.45000,,0,0,0,1295,,0.00,0.00
Barge No 110,Barge,,1956,Cold Spring Inlet SE 5.3 mi,38.87500,-74.77500,,0,0,0,0,,0.00,0.00
Barge No 4,Barge,,1908,Cold Spring LSS E 2.5 mi,38.92605,-74.86249,,0,0,0,0,,0.00,0.00
Barge No 887,Barge,,1946,"Indian River Inlet, DE E 7 mi",38.61638,-74.93111,,0,0,0,0,,0.00,0.00
Barnard,Schooner,,1878,Little Egg LSS SW .75 mi,39.50512,-74.32315,,0,0,0,143,,5000.00,0.00
Bay of Isles,Comm Fishing Vessel,,2020,Barnegat Inlet South Jetty,39.75813,-74.09566,Wood,54,20,7,47,32,0.00,0.00
Bayview,Steamship,"West Superior, WI",1909,Island Beach LSS E 300 yds,39.89480,-74.07706,Steel,265,38,29,1399,1075,30000.00,0.00
Bea Bellido,Steamship,"Sunderland, England",1895,Brigantine Shoal,39.39701,-74.36771,,277,37.2,14.3,1914,1202,100000.00,0.00
Beach Runner,Rampage Sportfisher,"Oconto, WI",2018,Cape May E 9 mi,38.93324,-74.71144,Fiberglass,29.3,11.2,5.1,11,9,0.00,0.00
Bear Ridge,Schooner - Barge,"Noank, CT",1927,Hereford Inlet Light,38.92500,-74.75777,,0,0,0,0,,0.00,0.00
Beatrice,Bark,"Sunderland, England",1895,Spermaceti Cove LSS N .5 mi,40.43616,-73.98075,Wood,130.9,26.6,11,295,288,2000.00,0.00
Belle (1841),Schooner,,1841,"Moriches, NY",39.20000,-71.66667,,0,0,0,0,,0.00,0.00
Belle (1878A),Schooner,,1878,Bonds LSS E,39.53519,-74.24426,,0,0,0,0,,3000.00,0.00
Belle (1901),Sloop,"West Creek, NJ",1901,Holly Beach LSS SE .5 mi,38.96580,-74.82193,Wood,41.3,14.4,4,16,15,600.00,250.00
Belle (1909),Sloop,,1909,Cape May LSS SSW .75 mi,38.93507,-74.97241,,0,0,0,0,,700.00,0.00
Belleville,Tug,,1915,Absecon Light E .75 mi,39.35555,-74.40138,,0,0,0,0,,0.00,0.00
Benjamin A VanBrunt,Schooner,,1925,,36.93333,-74.76666,,0,0,0,0,,0.00,0.00
Bertha Warner,Schooner 3 masted,"West Deering, ME",1896,Toms River LSS SE 500 yds,39.93323,-74.06680,Wood,140.2,30.1,16,452,429.1,9000.00,4000.00
Beth Dee Bob,Clam boat,"Beaufort, NC",1999,Manasquan Inlet E 15 mi,40.13583,-73.72666,Steel,84.3,26,7.2,96,65,0.00,0.00
Bethany,Bark,"Sunderland, England",1877,Five Mile Beach,38.95433,-74.84630,,0,0,0,0,,0.00,0.00
Betsey (1778),Brig,,1778,Tuckers Beach,39.50666,-74.29000,,0,0,0,0,,0.00,0.00
Bianca Aspasia,Bark,"Sestri Ponente, Italy",1901,Ship Bottom LSS S .25 mi,39.63333,-74.17916,Wood,134.5,27.9,14.1,466,451,18000.00,37000.00
Bidevind,Freighter,"Flensburg, Germany",1942,Barnegat Light E 48 mi,39.80833,-72.81666,,414.3,55.7,25,4956,2908,0.00,0.00
Big  O,Cabin cruiser,,1959,Absecon Inlet E 2.5 mi,39.36500,-74.32667,,23,0,0,0,,0.00,0.00
Black Hawk,Brig,,1860,Squan Inlet S 5.5 mi,40.02298,-74.05056,,0,0,0,0,,0.00,0.00
Black Point,Steamer cargo ,"Camden, NJ",1945,"Block Island, RI NW 8 mi",41.33083,-71.42694,,0,0,0,0,,0.00,0.00
Black Warrior,Sidewheel steam,"New York, NY",1859,"Rockaway Bar, NY",40.54620,-73.88780,,0,0,0,0,,0.00,0.00
Blink,Transport,"Bristol, England",1942,Cape Hatteras E 160 mi,35.00010,-72.44950,,0,0,0,0,,0.00,0.00
Bluefish,Motor vessel,,1950,Barnegat Inlet,39.75207,-74.07943,,0,0,0,0,,0.00,0.00
Boiler Wreck,Seagoing tug,,1934,Stone Harbor E 300 yds,39.04166,-74.75833,,0,0,0,0,,0.00,0.00
Bone Wreck,Barge,,1903,Barnegat Inlet N 1.5 mi,39.77990,-74.09365,Steel,200,0,0,0,,0.00,0.00
Bonito (1960),Motor vessel diesel,"Carvel Beach, MD",1960,Atlantic City SE,39.28736,-74.28922,Wood,47.6,14.8,5.7,25,17,0.00,0.00
Booth Brothers,Schooner 3 masted,"Madison, CT",1893,Brigantine Shoal,39.39124,-74.37749,Wood,136.8,31,10.2,347.62,330.24,14000.00,3000.00
Bow Mariner,Oil tanker,Yugoslavia,2004,Virginia E 35 mi,37.88000,-74.25500,,0,0,0,0,,0.00,0.00
Brandywine (1875),Schooner,"Wilmington, DE",1875,Absecon LSS E,39.34417,-74.45492,Wood,0,0,8,168,,12000.00,10000.00
Breyman Bros No 14,Barge,,1925,Sandy Hook E 4 mi,40.45277,-73.90555,,0,0,0,0,,0.00,0.00
Brian C,Tug,"New Orleans, LA",1979,Atlantic City SE 20 mi,39.01833,-73.80000,,86,21.8,10.6,136,53,125000.00,0.00
Brinkburn,Steamship,"Newcastle, England",1886,Fenwick Shoal,38.45777,-74.93416,,0,0,0,0,,0.00,0.00
Buena Vista (1856),Schooner,,1856,Pecks Beach,39.24892,-74.59898,,0,0,0,0,,0.00,0.00
Burnside,Schooner - Barge,"Noank, CT",1913,"Long Branch, NJ E 37 mi",40.27500,-73.19055,Wood,192.6,34.7,16,855,823,4189.80,4515.00
Byron D Benson (4/1942),Tanker,"Tampa, FL",1942,"Oregon Inlet, NC NE 28 mi",36.16666,-75.21666,,0,0,0,0,,0.00,0.00
C & C Brooks (1878),Schooner,,1878,Brigantine LSS E .75 mi,39.42583,-74.32784,,0,0,0,135.22,,2000.00,435.00
C C Sweeney,Brig,,1904,,36.50000,-73.75000,,0,0,0,0,,0.00,0.00
C F Young,Schooner,"Camden, ME",1875,Great Egg Harbor bar,39.29150,-74.53024,,90.3,26,8.1,214,,10000.00,1500.00
Cabin Cruiser,Cabin cruiser,,1960,Absecon Inlet buoy S .5 mi,39.34166,-74.38000,,26,0,0,0,,0.00,0.00
Caddo (08/1921),Barge,"Port Richmond, NY",1921,Ship Bottom E 6 mi,39.64444,-74.05805,Steel,0,0,0,432,432,0.00,0.00
Cadet (1842),Schooner,,1842,Manasquan Inlet S 3 mi,40.00593,-74.04392,Wood,150,38,0,0,,0.00,0.00
Cadet (1949),Derrick,,1949,Avalon Buoy SW 5 mi,39.05500,-74.67000,,91,34,10,0,,0.00,0.00
Camilla May Page,Schooner,"Bath, ME",1927,Little Egg Harbor,39.42116,-74.22666,,0,0,0,688,567,0.00,0.00
Cape Hatteras,Recreational tow boat,,2013,Great Egg Inlet; Ocean City E 1m,39.28851,-74.53347,Auminum,48.8,15,5.7,27,22,0.00,0.00
Cape May (1935),Ferry boat,"Wilmington, DE",1935,Philadelphia Harbor,39.95177,-75.13696,Steel,0,0,0,2294,,0.00,0.00
Cape May (1962),Pilot boat,,1962,Cape Henlopen,38.80277,-75.09027,,0,0,0,0,,0.00,0.00
Carbon,Schooner - Barge,"Brooklyn, NY",1902,Cold Spring LSS SSE 6.5 mi,38.84347,-74.87468,Wood,186,36.6,22.3,1130,1130,5000.00,4500.00
Cardiff,Brig,,1856,Corsons Inlet bar,39.20278,-74.64166,,0,0,9,0,,0.00,0.00
Carlo,Ship,,1838,Long Beach Island,39.60714,-74.19513,,0,0,0,0,,0.00,0.00
Carlos Alberto,Brig,,1857,Barnegat Inlet N 11.5 mi,39.92812,-74.06906,Wood,0,0,12,0,,0.00,0.00
Carolina (1918),Passenger cargo ship,"Newport News, VA",1918,Sandy Hook SE 125 mi,39.09305,-73.11500,,0,0,0,0,,0.00,0.00
Cartegena (12/1865),Schooner,,1865,Two Mile Beach,38.94111,-74.85000,,0,0,0,0,,0.00,0.00
Cassandra (1867),Steamship,"Mystic, CT",1867,Brigantine Shoal,39.40569,-74.35908,Wood,207,35.5,17.3,1284,,0.00,0.00
Catherine Jackson,Brig,,1870,Squan Beach,40.12333,-74.02916,,0,0,20,0,,0.00,0.00
Cayru,Freighter steam,"Hog Island, PA",1942,Stone Harbor E 39 mi,39.08333,-73.78333,Steel,390,54.2,28,5152,3156,0.00,0.00
Cecil P Stewart,Schooner,"Thomaston, ME",1927,Harvey Cedars LSS NE 1 mi,39.67823,-74.14282,Wood,222,41,18,1216,1040,50000.00,75000.00
Cecila M Dunlap,Barge,,1931,Highlands Lights E 3.25 mi,40.40000,-73.91666,Iron,198.7,32.2,19.5,0,835,0.00,0.00
Centennial (1878),Schooner,,1878,Little Egg LSS E .5 mi,39.50955,-74.29834,,0,0,0,0,,75.00,0.00
Centurion,Sloop,,1892,Sandy Hook LSS NW .25 mi,40.47610,-74.02502,,50.1,18,5.2,29.68,28.2,450.00,100.00
Chapparra,Freighter,"Port Glasgow, England",1918,Barnegat SE 10 mi,39.73138,-73.98861,,0,0,0,0,,0.00,0.00
Charlemagne Tower Jr,Transport steam,"Cleveland, OH",1914,Barnegat N 6 mi,39.84195,-74.00011,,0,0,0,0,,0.00,0.00
Charles Albert,Brig,,1857,Barnegat Inlet N 11.5 mi,39.92812,-74.07083,Wood,0,0,12,0,,0.00,0.00
Charles Colgate (1856),Schooner,"Patchogue, NY",1856,Brigantine Shoal,39.40132,-74.35098,,0,0,11,290,,0.00,0.00
Charles F Prichard,Barge,"Bath, ME",1937,Atlantic City SE 11.5 mi,39.24184,-74.25765,Wood,190,35.3,16.1,861,753,0.00,0.00
Charles J Hooper,Schooner - Barge,"Stratford, CT",1948,Barnegat Light E 8 mi,39.78472,-73.93055,Wood,267.3,46,23.6,2217,2131,0.00,0.00
Charles W Parker,Schooner,"Salem, MA",1907,Atlantic City LSS SE .75 mi,39.36281,-74.40217,,71,20.2,7.2,57,54,2000.00,0.00
Cherokee (1918),Tug,"Camden, NJ",1918,Fenwick Island Light NNE 12.5 mi,38.59805,-74.65805,,0,0,0,0,,0.00,0.00
China Arrow,Tanker,"Fairfield, CT",1942,"Winter Quarter Shoal, VA E",37.99166,-75.19166,,0,0,0,0,,0.00,0.00
Choapa,Freighter steam,Denmark,1944,Long Branch E 9.5 mi,40.26666,-73.78333,Steel,292,41.7,16.4,1700,973,0.00,0.00
Chocorua,Schooner,"Gloucester, MA",1898,Brigantine Shoal,39.39011,-74.38041,Wood,72,21,7.3,62.87,59.73,3000.00,700.00
Citizen,Merchantman,,1822,Brigantine Shoal E 3 mi,39.37272,-74.34577,,0,0,17,0,,0.00,0.00
City of Georgetown,Schooner,"Bath, ME",1913,Five Fathom Bank Lightship,38.97782,-74.65427,,0,0,0,0,,0.00,0.00
Civita Carrara,Bark,,1888,Manasquan Inlet,40.10144,-74.03189,,0,0,0,434,,0.00,0.00
Clara Brookman,Schooner 3 masted,"Bath, ME",1857,Squan Inlet S 4.5 mi,40.03727,-74.04552,Wood,0,0,0,1424,,55000.00,140000.00
Clayton Frame,Schooner,"Milford, DE",1886,Monmouth Beach LSS N 1 mi,40.35633,-73.97215,,60.2,22.8,4.6,48.69,46.45,1200.00,800.00
Cleopatra (1889),Freighter steam,"Fairhaven, CT",1889,Delaware Capes,38.76597,-75.05822,Wood,184,34,15,1045,,25000.00,0.00
Clyde (1853),Ship,,1853,Sandy Hook Inside,40.46466,-74.02210,,0,0,0,0,,0.00,0.00
Clydesdale,Steamship,"Port Glasgow, England",1884,Brigantine Shoal,39.40490,-74.35581,Steel,214.4,31.2,13.6,738,608,0.00,0.00
Coastwise,Tug steam,,1920,Monmouth Beach E 30 mi,40.33333,-73.30000,,0,0,0,268,,0.00,0.00
Coimbra,Tanker,"Kiel, Germany",1942,Moriches Bay S 20 mi,40.64472,-72.59638,,0,0,0,0,,0.00,0.00
Colonel James Page,Schooner,,1855,Corsons Inlet,39.20224,-74.63715,,0,0,0,0,,0.00,0.00
Colorado,Schooner,,1865,Townsends Inlet,39.11245,-74.69424,,0,0,0,0,,0.00,0.00
Commonwealth (1889),Steamship,"Camden, NJ",1889,Townsends Inlet North bar,39.12333,-74.69583,Wood,142.4,23,8,299.28,197.47,20000.00,14500.00
Condor,Bark,,1854,Highlands E 20 mi,40.35000,-73.50000,,0,0,0,0,,0.00,0.00
Continent,Freighter,,1942,Seabright E 7 mi,40.35666,-73.82333,,0,0,0,468,,0.00,0.00
Corbella (1857),Schooner,,1857,Shark River Inlet,40.18750,-74.00000,,0,0,0,0,,0.00,0.00
Cordova,Schooner,,1877,"Cape May Point, Sea Grove",38.92972,-74.91666,,0,0,0,0,,0.00,0.00
Cornelius Grinnell (1885),Barge,"East Boston, MA",1885,Highland Light S 5 mi,40.32227,-73.97243,,172.5,37.2,30,979.6,,0.00,0.00
Cornelius Hargrave,Schooner,"Camden, ME",1890,Barnegat Light E 8 mi,39.79055,-73.92583,Wood,211.4,45.5,21.5,1401.74,1331.66,62000.00,0.00
Cornell #20,Motor vessel,,1953,Highlands NE 3 mi,40.41666,-73.91666,,0,0,0,68,,0.00,0.00
Corvallis,Freighter,"Portland, OR",1925,Surf City E 48 mi,39.65000,-73.21666,Wood,267.8,49.8,25.6,2992,1724,0.00,0.00
Costa Rica,Brig,"Black Rock, CT",1869,Squan Beach,39.65000,-73.21666,Wood,267.8,49.8,25.6,2992,1724,0.00,0.00
Creole (1868),Steamship,"Mystic, CT",1868,Squan Inlet S 3.5 mi,40.05150,-74.04197,Wood,194,34,18,1229,1056,0.00,0.00
Croatan,Barge,"New Bern, NC",1940,"Ship Bottom, NJ",39.63845,-74.17976,,175,23.7,15,416,416,0.00,0.00
Crystal Wave,Sidewheel steam,"Greenpoint, NY",1889,Delaware Capes,38.75452,-75.02000,Wood,203,22,10,777,,46000.00,0.00
Cuba,Schooner,"St George, New Brunswick",1879,Ship Bottom LSS E .75 mi,39.63584,-74.16908,,90,28,8.8,144,,2700.00,9000.00
Culloden HMS,Frigate,"Deptford, England",1781,"Montauk, NY",41.07000,-71.95638,,0,0,0,0,,0.00,0.00
D H Ingraham,Schooner,"Stockton, ME",1886,Hereford Inlet North bar,39.02253,-74.78462,Wood,100.6,26.9,7.1,203.19,193.04,8000.00,2300.00
Darien,Barge,"Wilmington, DE",1948,Atlantic City E 4.9 mi,39.35207,-74.35239,Wood,181.4,40,15.4,944,,0.00,0.00
Dashaway,Brig,"Prince Edward Island, CA",1863,Pecks Beach,39.24410,-74.61327,,0,0,12,163,,0.00,0.00
David A,Fishing trawler,"Thomaston, ME",1960,Cape May E 65 mi,38.57166,-73.88333,,0,0,0,0,,0.00,0.00
David Collins,Schooner,"Philadelphia, PA",1875,Townsends Inlet North bar,39.12304,-74.70403,,0,0,11,375,,10000.00,5000.00
De Mora Gray (1912),Schooner,,1912,Old Cranberry Inlet,39.93888,-74.06666,,0,0,0,0,,0.00,0.00
Debbie Sue,Motor vessel,"Washington, DC",1957,Atlantic City SE 30 mi,39.10452,-73.96222,,0,0,0,0,,0.00,0.00
Deborah H Diverty,Schooner,"Dennisville, NJ",1884,Sea Isle City LSS E 12 mi,39.16098,-74.46184,,0,0,0,187.17,,0.00,0.00
Delaware (1898),Freighter steam,"Philadelphia, PA",1898,Manasquan Inlet NE 2.6 mi,40.11523,-73.98606,Wood,252,37.1,17.8,1646.14,1279,250000.00,50000.00
Derrick,Salvage barge,,1946,Sandy Hook E 5 mi,40.45666,-73.90000,,0,0,0,0,,0.00,0.00
DeWitt Clinton,Bark,"New York, NY",1860,Squan Inlet S 8 mi,40.45666,-73.90000,,0,0,0,0,,0.00,0.00
Diamond State (1896),Sloop,"South Milford, DE",1896,Cape May LSS E 1.75 mi,38.92918,-74.92743,Wood,60,22.3,4.6,51.59,49.02,200.00,50.00
Dispatch,Schooner,,1855,Squan Inlet S 5 mi,40.02975,-74.04901,,0,0,0,0,,0.00,0.00
Dixie (1893),Schooner - Barge,"Portsmouth, VA",1893,Forked River LSS S 1.75 mi,39.77873,-74.09401,Wood,160,23.6,11,298.3,283.38,8000.00,4000.00
Dolphin (1889),Sloop,,1889,Cape May LSS N 1.5 mi,38.95209,-74.96766,,0,0,0,0,,300.00,0.00
Dorin,Schooner,,1923,Delaware Bay NJ side,39.15000,-75.01666,,0,0,0,0,,25000.00,0.00
Dorothy B Barrett,Schooner,"Bath, ME",1918,"Angelsea, NJ SE 22 mi",38.90000,-74.56666,,0,0,0,0,,0.00,0.00
Druidhill,Barge,,1940,Belmar E,40.18055,-73.96110,,0,0,0,0,,0.00,0.00
Dry Dock,Dry dock,,1961,Beach Haven Inlet E 5 mi,39.51333,-74.18583,Wood,183,65,35,0,,0.00,0.00
E F C Young (1897),Schooner,"Athens, NY",1897,Spermaceti Cove LSS N 1 mi,40.44295,-73.98178,Wood,93.8,27.2,6.7,113.43,107.76,5000.00,475.00
E F Lewis,Schooner,,1864,,39.31666,-74.00000,,0,0,0,182,,0.00,0.00
E W Gardner,Schooner,"Gloucester, NJ",1868,Townsends Inlet,39.11978,-74.69742,,0,0,10,203,,7000.00,0.00
Eastern 2,Barge,"New Orleans, LA",1969,"Spring Lake, NJ Ludlow Ave",40.15954,-74.01818,Steel,422.8,57.04,24.5,6428,6034,0.00,125000.00
Edgar,Ship,,1846,Absecon Beach S 2 mi,39.32100,-74.45015,,0,0,0,0,,24000.00,0.00
Edith (1895),Schooner,"Columbia, ME",1895,Little Beach LSS S 1 mi,39.44335,-74.32489,Wood,102.1,28.6,9.5,198,187.63,5000.00,5500.00
Edith (1948),Lighter,"Freeport, NY",1948,Cape May E .5 mi,38.94194,-74.84166,,0,0,0,0,,0.00,0.00
Edward H Cole,Sailing ship,"Rockland, ME",1918,Little Egg Inlet E 40 mi,39.23694,-73.39583,,0,0,0,0,,0.00,0.00
Electric (1867),Medium clipper,"Mystic, CT",1867,Pecks Beach,39.24111,-74.60911,,181,38,21,1046,,0.00,0.00
Eliza Jane (1876),Schooner,,1876,Seaside Heights,39.94032,-74.05910,,0,0,12,45,,2500.00,0.00
Elizabeth (1869),Sloop,,1869,Corsons Inlet bar,39.20817,-74.64111,,0,0,0,0,,0.00,0.00
Elizabeth A Buehler,Schooner 3 masted,,1882,Green Island LSS E 4.5 mi,39.98625,-73.97756,Wood,0,0,0,491.39,,25000.00,2824.00
Elizabeth Palmer,Schooner,"Bath, ME",1915,Fenwick Island Lightship E 13 mi,38.46138,-74.82027,,0,0,0,0,,0.00,0.00
Ella R Simpson,Schooner,"Milford, DE",1896,Little Beach LSS E .75 mi,39.45780,-74.30772,Wood,81,23.4,5.6,83.39,79.33,3000.00,0.00
Ella Robins,Sloop,"Patchogue, NY",1886,Spermaceti Cove LSS NW 1 mi,40.43857,-73.99594,Wood,54,17.3,4.3,25.65,24.37,1500.00,0.00
Ellie Carter,Brig,"Humber Sound, NF",1893,Ship Bottom LSS S .75 mi,39.62672,-74.18938,,92,24.6,100.9,147,,6000.00,0.00
Emblem,Schooner,,1879,Long Beach LSS N .25 mi,39.58661,-74.21733,,0,0,0,32,,1500.00,400.00
Emeline McLain,Schooner,"Rockland, ME",1876,Townsends Inlet bar,39.11538,-74.71193,Wood,97.4,25.8,9.2,250,149,4000.00,1000.00
Emily and Jenny,Schooner,"Mays Landing, NJ",1888,Harvey Cedars LSS NNE 1 mi,39.68819,-74.14300,,119.2,29.7,9.8,345.13,327.87,8000.00,0.00
